127.0.0.1 - - [31/Oct/2021:16:36:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/ HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/img/eastSea.jpg HTTP/1.1" 200 113445
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/img/jeju.jpg HTTP/1.1" 200 100626
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/img/westSea.jpg HTTP/1.1" 200 63226
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/img/busan.jpg HTTP/1.1" 200 136958
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:54 +0900] "GET /Surf/css/basic.css?ver=2 HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:56 +0900] "GET /Surf/surf/surfSpot.su?area=1 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:36:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:37:01 +0900] "GET /Surf/surf/surfSpot.su?area=2 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:37:03 +0900] "GET /Surf/surf/surfSpot.su?area=3 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:37:04 +0900] "GET /Surf/surf/surfSpot.su?area=4 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:37:53 +0900] "GET /Surf/ HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:37:53 +0900] "GET /Surf/img/wave.ico HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:39:40 +0900] "GET /Surf/ HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [31/Oct/2021:16:39:40 +0900] "GET /Surf/img/surf_person.ico HTTP/1.1" 200 13012
