127.0.0.1 - - [08/Nov/2021:10:10:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:10:53 +0900] "GET /Surf/ HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:10:53 +0900] "GET /Surf/css/basic.css?ver=7 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:10:53 +0900] "GET /Surf/img/surf_person.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:10:53 +0900] "GET /Surf/css/board.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:23 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:28 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:28 +0900] "GET /Surf/surf/surfSpot.su?spot=%EC%9E%84%EB%9E%91%ED%95%B4%EB%B3%80 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:30 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:11:30 +0900] "GET /Surf/css/shopInfo.css?ver=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:36 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:36 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:36 +0900] "GET /Surf/css/login.css?ver=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:44 +0900] "GET /Surf/login/login.me?id=test01&pwd=test01123 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:46 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:10:13:46 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:26 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:26 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:27 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:38 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:40 +0900] "GET /Surf/surf/surfSpot.su?spot=%EC%9E%84%EB%9E%91%ED%95%B4%EB%B3%80 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:40 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:28:41 +0900] "GET /Surf/css/shopInfo.css?ver=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:31 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:31 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:40 +0900] "GET /Surf/login/login.me?id=test01&pwd=test01123 HTTP/1.1" 200 147
